Order_id,Customer_City,Customer Remarks
c27c9bb4-fa36-4140-9f1f-21009254ffdb,,
d406b0c7-ce17-4654-b9de-f08d421254bd,,
c273368d-b961-44cb-beaf-62d6fd6c00d5,,
5aed0059-55a4-4ec6-bb54-97942092020a,,
e8bed5a9-6933-4aff-9dc6-ccefd7dcde59,,
a2938961-2833-45f1-83d6-678d9555c603,,
bfcb562b-9a2f-4cca-aa79-fd4e2952f901,,
88537e0b-5ffa-43f9-bbe2-fe57a0f4e4ae,,Very good
e6be9713-13c3-493c-8a91-2137cbbfa7e6,,Shopzilla app and it's all coustomer care services is very good service provided all time
c7caa804-2525-499e-b202-4c781cb68974,,
5862d1a1-2081-4e28-ad0a-cec43380ac7d,,
55bbace3-eb2e-4f67-aacb-4f8ee8512f75,NAGPUR,Very bad
c7d5eef8-d239-474c-8d24-542db2923b3c,,
c1e10375-7426-4b2a-aca6-17dc6bc9c7a3,,
9e0d7d55-d012-42f7-8e21-634942419386,,
8153c646-4940-406f-992c-952ed08e9af8,,
4245d6df-49c6-491a-8724-125c4df82e75,RANCHI,
0cdaa1f1-02f2-40ec-9134-7cd0f92a6b3e,,Something 
3f16b782-27cf-4831-b542-cd8bd60c0385,,
8a1ae638-4d8c-4a5e-bf1b-eb74f881fc3d,NAGPUR,All good
96bd06f2-beb2-4462-834f-b6b77aae8c4e,,
91ba71bf-f229-4544-9dc6-be3b6c2e51d2,,Good 
a076e47c-cb0b-458d-b4bb-935e04203b1f,,
91fd56f7-fef1-4d16-9839-0051bda0f370,,Godd job
2509fa08-318d-4526-8122-51603af956a8,BETIA,
e4eed4bb-1b1e-4894-bbd0-e2ba491b562b,NEW DELHI,Issue not resolved pathetic service
24c3e082-0548-485b-a649-7e4dac116731,KODERMA,
159aec02-1396-4dd7-95f4-acba7a790ff7,FARIDABAD,Excellent 
0e53b17c-6d33-4b57-9753-e788545bb995,,
57fa0ee6-7b49-4721-ad09-7a717fd7afeb,,Very good 
57df6fba-465e-46a7-8a9d-98df37cf8f13,,Give proper guidance to the customer 
93992718-b762-4073-978a-c79ee02b561f,,Please highlight if the products cannot be returned.
d99b00a1-24c6-4173-ab90-2fe0e0d5302f,,3000 rupees loss 
5185b97f-7cfd-4dda-ba45-9697a1483f40,,Please don't sale any destroy product or cheep product more price. 
8a04b086-7b38-44b6-a0fc-1c3243fe9993,,
79d01ef2-c3bc-460b-8e9c-41ae47a90021,,
bc7a4a0a-700f-4158-b93e-ef508082f026,,
532a17a9-b82d-44e1-863c-a7a61cbae523,KANYAKUMARI,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.
7a8cdbdf-3b92-40e5-a973-b0cc08e6d7d8,,
933d1988-ecb4-491e-843c-740465605d0e,,No comments 
29085dc4-1691-40d8-b2a4-4c6460197b55,,
3dc78a3e-0cf3-4714-b4dd-3dc17de57a95,,
44714e55-902a-4b5e-ac6d-91589b904b84,,  good ????
7ac5b1bc-84e0-4962-b70f-26c8e789c956,,customer service number plz available
691e7a18-2bce-46aa-9e9b-b594828cb033,,
ef53e1b4-502c-4859-9972-a41c1d87aa48,,
6cbb35ed-098b-4eb9-b756-fbfbb82dcc1f,,Good
27a9f29f-899d-489f-ae06-c51f32234002,,
53d62950-27f6-49a6-88af-9378807681be,,Respectful 
b6466d1a-7d65-4f71-a031-4268ecce6326,,Very nice good
315a0ea5-97dd-4e96-b820-5d3ca3a3fdef,BURDWAN,
1caba2a4-7e0e-438c-835a-768f0faa83ba,,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue 
f8199c58-6f00-410f-bab1-8d3fee78864b,,
40cfed5c-29a9-4050-b36e-01dc8b2bc270,,
e91ceda3-ffb5-47f1-9f2e-1bf2e9a18cdb,JHUJHUNU,
b4c9e1e7-1477-4370-889c-616451bf7f09,,Thanks 
958deb25-4cd0-4c66-a9dc-bb258684fe37,,
5e3ca074-f3d2-4e49-83f9-3f383ca84d50,,
1df9c412-6100-46d8-9f51-6b78ccf69e84,,Try to deliver the product on time 
f2943504-9065-4b46-8fc3-3b7ada13caa8,,
9764731c-7eb2-4757-a7d3-de7388bf98ed,,Nice conversation good I will give rating for ?????
04189703-ec47-4038-87ce-31bd4a1ce004,,
58e31e81-1461-4827-bd13-783b46945cd4,,
77f14514-2de9-4a4d-bfd8-b1d6df32a58c,,Keep it up Shopzilla 
f65fc715-2461-450e-a920-993d05bea04c,,I am so happy 
926cc1b1-9ffb-48af-be9a-6dc418661551,,
178d4482-65b7-4c97-aec0-27fd664a35cb,,
